0: 23,8,9,338,381,76
1: 118,6,78,321,261,186,88
90: 19,224,198,372,283,211
313: 218,252
241: 217,124,67
5: 55,338,138,94,371
6: 1,78,261,66,329,100
7: 244,325,137,349,152,89
8: 138,105,381,0
9: 24,287,338,23,33,0
10: 160,324,113,171,118,321
64: 42,259,317,340,246
12: 160,121,113,308,91,190
13: 93,363,249,142,303
14: 77,258,61,233,153,165
15: 288,251,279,197,310,339
16: 89,72,264,82,34,244
17: 276,44,63,143,157,226
18: 103,229,380,87,275,114
19: 83,106,90,224,283,149
20: 115,47,95,381,236,76
21: 257,36,202,223,41
22: 232,94,276,319,32,49
23: 33,274,212,0,9,76
24: 55,9,287,84,338
25: 334,347,191,185,227
26: 250,224,235,198,277
27: 278,283,192,86,149,112
28: 116,225,354,123,259,38
29: 46,287,278,86,33,220
30: 214,52,242,235,85,277
31: 182,375,263,176,237,345
32: 276,63,94,22,371
33: 23,212,220,9,287,29
34: 89,16,264,102,164,81
35: 124,77,258,216,67,312
36: 135,202,80,130,223,21
37: 255,304,181,207,71,201
38: 126,246,259,28,225
39: 201,144,372,71,290
40: 174,323,346,260,326
41: 53,324,223,21,45
42: 64,265,266,184,246,65
43: 308,166,286,181,207,190
44: 17,143,226,108,300,240
45: 226,171,358,41,324
46: 317,60,340,29,278,220
47: 20,95,76,274,297,256
48: 285,344,221,121,91
49: 264,280,81,319,232,22
52: 242,311,30,380,85
53: 41,121,324,113,104,223
54: 102,57,240,81,143,319
55: 24,5,261,88
56: 99,66,337,286,78
57: 54,102,206,120,240,79
58: 260,200,68,133,141
59: 350,196,374,136,195,162
60: 46,340,265,278,149,356
61: 233,293,179,14,77,70
99: 71,56,66,290,154,181
63: 17,276,157,32,186,88,371
65: 172,302,42,266,292,184
66: 99,56,329,154,6,78
67: 35,312,217,241,341
68: 180,116,225,133,200,58
69: 163,210,158,328
70: 77,216,183,145,61,179
71: 99,290,181,37,201,39
72: 16,82,244,204,148,136
73: 110,126,306,163,377
74: 173,97,263,289,127,175
203: 97,228,176,262,348
76: 20,47,381,23,274,0
77: 14,35,258,216,70,61
78: 1,6,321,56,66,337
79: 169,331,300,120,57,240
80: 135,36,351,130,355
81: 54,102,319,264,34,49
82: 72,16,264,195,280,136
83: 106,19,98,107,356
84: 100,24,287,192,86
85: 333,235,144,52,30
86: 278,192,27,287,84,29
87: 255,282,275,114,304,18
88: 1,261,186,63,371,55
89: 16,34,152,164,7,244
91: 308,48,344,362,12
92: 314,359,373,231,96
93: 344,13,363,253,362,303
94: 232,138,22,371,32,5
95: 145,20,115,47,256,179
96: 298,292,247,92,231,318
97: 173,228,74,203,263,176
98: 107,298,247,83,188,106
100: 84,6,261,329,192
101: 172,271,110,184,306,239
102: 54,206,57,164,81,34
103: 229,18
104: 130,140,285,223,53,121
105: 8,232,138,236
106: 83,188,19,250,224,98
107: 266,98,298,356,83,265
108: 226,358,365,300,44
109: 187,204,349,288,307,128
110: 73,184,126,246,306,101
111: 270,221,199,309,330
112: 283,192,27,211,329,154
113: 10,53,160,121,324,12
114: 87,304,18,380,333
115: 145,162,20,95,236,196
116: 28,68,225,133,146,123
204: 244,109,349,72,128,148
