0: 24,9,138,8,23,76
1: 118,6,160,100,186,10
90: 224,211,39,198,19,112
3: 9,86,29,23,33
4: 24,9
5: 138,94,22,32,24,88
6: 1,160,100,66,78,56
7: 89,72,204,152,187,209
8: 138,105,0,20,76
9: 0,24,55,4,84,3,86
10: 1,118,160,171,41,113
64: 42,38,46,220
12: 166,48,91,190,121
13: 142,93,205,218
14: 61,165,167,153,77
15: 109,128
16: 89,72,82,34,49,81
17: 44,226,157,143,54,57
18: 87,103,114,85
19: 83,27,149,112,106,90,224
20: 115,95,105,8,47,76
21: 202,45,36,41,223
22: 5,49,94,81,232,32,143
23: 33,212,76,0,3
24: 0,55,4,9,88,5,138
25: 185,150,125,206,139
26: 188,178,132,224,198,235
27: 19,192,29,149,112,86
28: 212,123,220,38,116,225
29: 27,149,3,86,33,46
30: 114,52,144,198,235
31: 79,169,176,175,108
32: 63,143,5,22,88
33: 23,220,3,29,46
34: 54,102,164,89,16,81
35: 124,77,216,67
36: 135,21,80,223
37: 71,129,207,87,201,85
38: 64,28,220,225,110,126
39: 201,144,198,211,90
40: 141,167,58,170,174
41: 53,113,21,45,171,10
42: 64,184,60,65,107
43: 166,207,190,78,181
44: 17,226,79,108,57
45: 202,21,108,171,41,226
46: 64,60,29,33,220
47: 212,123,76,20,95,146
48: 12,91,140,93,221,121
49: 22,195,81,232,16,82
52: 114,30,214,229
53: 104,41,121,223,113
54: 102,34,57,17,143,81
55: 24,9,88,84,100,186
56: 99,181,154,6,66,78
57: 54,102,120,79,17,44
58: 200,68,133,40,174,134
59: 148,82,136,195,162
60: 42,46,83,149,107
61: 14,179,70,145,77
99: 71,56,181,211,154
63: 32,157,118,186,88
65: 96,230,231,107,42,184
66: 6,100,56,84,192
67: 216,208,217,35
68: 200,58,116,133
69: 163,210,158
70: 216,183,145,196,77,61
71: 99,37,181,207,201
72: 89,16,204,7,82,136
73: 101,110,158,126,180
74: 176,173,97,127,175
203: 176,182,228,193
76: 23,47,212,8,0,20
77: 153,35,216,70,14,61
78: 6,160,190,43,56,181
79: 169,31,108,120,57,44
80: 130,36,104,223
81: 49,22,54,34,143,16
82: 72,16,136,49,195,59
83: 19,149,106,60,98,107
84: 55,9,86,100,66,192
85: 201,114,144,18,87,37
86: 9,84,3,192,29,27
87: 18,161,129,37,85
88: 24,55,32,63,186,5
89: 72,16,7,34,164,152
91: 12,166,48,218,93
92: 96,98,147
93: 13,205,221,48,91,218
94: 5,138,105,22,232
95: 145,20,115,146,47,179
96: 92,98,65,231,107
97: 173,228,74
98: 96,92,107,83,188,106
100: 1,6,66,186,55,84
101: 73,110,184,172,194
102: 54,206,34,120,164,57
103: 18,229
104: 53,121,223,130,140,80
105: 138,94,195,8,232,162,20,115
106: 188,224,83,19,98
107: 96,98,65,83,42,60
108: 202,45,79,31,44,226
109: 15,197,187,204,128
110: 73,101,126,38,184
111: 205,199
112: 19,27,211,154,90
113: 41,53,190,160,10
114: 52,144,30,85,18,229
115: 145,162,20,196,95,105
116: 68,225,133,28,123
204: 72,7,136,187,109
118: 1,186,10,171,63,157
119: 234,156
120: 102,206,57,79,169,125
121: 104,53,140,12,48
122: 137,168,227,139
123: 28,47,212,146,116,133
124: 153,35
125: 169,182,150,25,206,120
126: 73,110,180,38,225
127: 173,74,135,175
128: 208,148,15,109
129: 166,207,87,161,37
130: 140,80,213,104
131: 153,165
132: 26,178,235,151
133: 68,58,116,146,123,141,233
134: 174,215,200,58
135: 202,175,36,127
136: 72,204,82,148,59
137: 122,168,152,209
138: 5,105,94,8,0,24
139: 206,164,152,25,122
140: 130,221,104,121,48
141: 40,167,233,133
142: 13,205
143: 17,32,54,22,81
144: 201,114,30,85,39
145: 115,196,95,70,61,179
146: 95,47,123,179,233,133
147: 188,178,156,92,234
148: 128,208,183,59,136
149: 83,19,29,27,60
150: 189,185,125,182,25
151: 214,178,132
152: 164,139,137,209,89,7
153: 124,77,14,165,131
154: 99,56,211,192,112
155: 219,193
156: 147,178,119,234
157: 17,63,226,171,118
158: 73,180,163,69
159: 191,222
160: 1,6,10,78,190,113
161: 87,129,218
162: 115,196,105,195,59
163: 69,210,158,180,215
164: 102,206,34,152,139,89
165: 14,167,153,131,170
166: 43,12,91,129,207
167: 14,141,40,165,170
168: 137,122,222
169: 79,125,31,176,182,120
170: 40,165,167
171: 45,41,226,157,118,10
172: 194,184,230,101
173: 97,127,74
174: 134,40,58
175: 135,202,127,74,31
176: 74,169,203,31,182
177: 215,210
178: 147,26,188,132,156,151
179: 61,233,145,95,146
180: 73,158,126,200,163
181: 99,71,56,43,207,78
182: 169,125,203,176,150
183: 216,208,148,70,196
184: 42,65,101,110,172
185: 189,150,25,191,227
186: 1,118,100,63,55,88
187: 197,209,204,7,109
188: 147,26,106,178,224,98
189: 219,185,150
