447: 172,65,101,110,184
1: 118,6,321,261,186,78
90: 224,19,372,283,211
313: 218,322,441
241: 217,67,124,396
5: 8,94,422,371,55,338
6: 1,261,66,329,78,100
7: 244,325,89,349,137,152
8: 422,5,338,381,404
9: 24,287,338,23,33,404
10: 160,410,113,118,321,171
64: 42,317,340,246,259,402
12: 53,160,113,121,407,190
13: 249,303,142,93,363
14: 77,258,61,233,153,165
15: 288,251,406,339
16: 72,264,82,34,244,89
17: 276,44,63,226,32,157
18: 380,414,87,275,114
19: 83,90,283,149,356
20: 47,381,236,442,76
21: 41,423,257,36,223,389
22: 276,32,319,49,450,232,94
23: 33,274,212,404,76,9
24: 55,388,9,287,84,338
25: 191,448,415,347,185,227
26: 224,250,198,235,425
27: 278,283,192,86,149,112
28: 434,354,384,38,259
29: 46,287,278,86,33,220
30: 214,52,242,235,85,277
31: 263,176,237,182,375,345
32: 17,276,63,22,94,371
33: 23,212,220,9,287,29
34: 16,264,164,102,81,89
35: 124,77,258,216,312,67
36: 411,257,202,421,223,21
37: 255,304,207,181,71,201,436
38: 409,126,246,259,28,225
39: 201,144,198,372,452
40: 174,323,346,260,326,58
41: 358,423,45,21,389,410,324
42: 64,340,265,266,402
43: 308,166,286,181,190,207
44: 17,276,143,226,300,108
45: 358,41,108,410,226,171
46: 29,317,60,340,278,220
47: 446,20,442,274,76
48: 344,221,91,285,104,121
49: 264,280,450,22,232
52: 242,30,85,114,380,311
53: 389,324,113,12,104,121
54: 102,57,319,240,81,143
55: 24,388,338,88,5,371
56: 99,66,78,286,337
57: 54,102,206,440,240,79
58: 260,200,141,133,346,40
59: 350,196,374,136,162,195
60: 46,340,265,278,149,356
61: 233,293,179,14,77,70
99: 154,56,66,290,71
63: 17,32,157,186,88,371
65: 172,302,447,292,402,184
66: 99,154,56,329,78,6
67: 217,241,341,124,35,312
68: 116,225,133,180,215,200
69: 163,328,158,210
70: 77,216,183,145,61,179
71: 99,181,37,201
72: 16,82,244,204,148,136
73: 163,377,306,110,409,126
74: 97,263,173,127,175
203: 238,97,176,417,348
76: 23,274,404,20,47,381
77: 14,35,258,216,70,61
78: 56,66,337,1,6,321
79: 169,331,120,440,57,240
80: 411,421,351,135,355,130
81: 54,102,319,264,34,450
82: 72,16,264,195,280,136
83: 106,19,98,107,356
84: 100,24,388,287,192,86
85: 52,235,30,333,144
86: 278,192,27,287,84,29
87: 255,282,275,114,304,18
88: 261,186,63,371,55,388
89: 7,244,152,164,16,34
91: 48,344,362,121,308,407
92: 234,314,390,359
93: 344,363,253,362,303,13
94: 232,422,5,371,32,22
95: 145,115,442,256,179
96: 298,247,390,424,318
97: 228,74,203,263,176,417
98: 107,298,247,83,412
100: 388,84,6,261,329,192
101: 172,271,447,110,306,239
102: 54,206,57,81,164,34
103: 414
104: 400,285,121,48,53
105: 138,195,280,162,236
106: 83,224,250,412
107: 266,98,298,356,83,265
108: 358,365,45,44,226,300
109: 187,204,349,288,307,128
110: 409,184,101,447,73,306
111: 309,270,199,330,435,221
112: 283,192,27,211,154,329
113: 10,53,160,410,324,12
114: 87,304,18,380,333,52
115: 145,95,236,442,196,162
116: 68,123,225,133,146,434
204: 244,109,349,72,128,148
118: 1,157,321,186,171,10
119: 370,156,315,234,359
120: 79,169,150,440
121: 104,48,91,53,12,407
122: 291,137,139,294,152
123: 116,146,297,434,384
124: 35,258,241,67,396,449
125: 139,294,334,150,206,440
126: 180,38,409,225,73
127: 173,439,135,74,175
128: 288,366,204,109,148
129: 255,282,207,253,161,166
130: 400,140,223,355,80,421
131: 245,153,243
132: 327,315,151,156,430,178
133: 68,116,146,141,200,58
134: 177,437,382
135: 351,127,411,80
136: 350,59,148,72,195,82
137: 122,152,353,7,325
138: 232,105,422
139: 125,122,294,152,164,206
140: 400,285,130,330,378,355
141: 268,316,133,146,346,58
142: 343,419,249,13
143: 276,44,300,54,319,240
144: 333,198,39,235,85
145: 115,95,196,183,70,179
146: 123,116,133,297,268,141
147: 156,188,178,401,234,314
148: 350,136,204,72,366,128
149: 278,283,27,19,60,356
150: 357,334,269,120,125,440
151: 327,443,132,444,394,430
152: 122,137,139,164,7,89
153: 131,243,449,14,258,165
154: 99,66,329,290,112,211
155: 305,295
156: 147,178,315,132,234,119
157: 118,186,171,17,63,226
158: 239,163,69,306
159: 191,448,222
160: 10,113,12,337,190,321
161: 303,252,445,253,282,129
162: 59,196,195,105,115,236
163: 69,73,328,377,306,158
164: 139,152,102,206,89,34
165: 170,167,14,233,153,243
166: 43,308,253,362,129,207
167: 170,165,323,346,316,233
168: 336,432,385,387,353,399
169: 182,79,451,375,120
170: 165,364,323,167,243
171: 118,157,45,10,410,226
172: 254,271,65,302,101,447
173: 289,127,228,74
174: 364,323,40,326
175: 202,237,127,74,263
176: 238,97,203,263,31,182
177: 134,413,437,369
178: 156,430,147,397,401,132
179: 61,293,256,145,95,70
180: 126,68,225,215,377
181: 43,286,37,207,71
182: 169,451,375,238,176,31
183: 196,374,145,216,70
184: 110,409,246,402,65,447
185: 189,347,219,415,25
