447: 65,302,184,110,579,704
1: 118,6,78,261,186,321
90: 83,19,211,372,224,283
313: 391,972,866,845
241: 217,124,641,712,702,557
5: 912,94,422,371,55,338
6: 1,78,100,261,66,329
7: 137,325,931,349,244,152
8: 381,624,981,912,498,404
9: 24,287,84,338,404,23
10: 321,160,410,113,171,118
64: 402,246,259,42,317,340
12: 160,113,53,566,190,793
13: 270,621,249,363,93,303
14: 258,165,153,61,77,233
15: 288,406,455,688,668,703
16: 72,244,89,34,794,164
17: 276,44,32,63,226,157
18: 767,114,774,414,229,380
19: 83,623,90,283,149
20: 442,381,446,624,76,812
21: 358,41,423,257,530,389
22: 276,32,319,232,532,94
23: 33,913,9,287,404,981
24: 854,55,388,9,84,338
25: 940,955,715,448,227
26: 250,935,198,651,235,675
27: 278,283,192,149,112,780
28: 384,225,434,354,38,259
29: 46,768,220,287,86,33
30: 620,242,277,692,520
31: 176,721,263,182,237,345
32: 17,276,22,371,63,94
33: 23,212,913,287,29,220
34: 16,794,472,164,81,264
35: 77,216,557,608,124,258
36: 622,530,389,421,650,324
37: 255,181,491,766,201
38: 409,246,638,259,28,225
39: 436,144,255,333,801,85
40: 323,458,167,346,326,260
41: 358,45,21,389,410,547
42: 340,885,485,402,64,266
43: 814,836,308,286,166,207,766
44: 17,276,143,108,300,226
45: 358,41,108,226,410,171
46: 735,29,317,768,340,220
47: 573,95,297,256,812
48: 344,121,91,457,435,221
49: 280,138,264,105,876
52: 333,936,304,114,519
53: 12,547,113,104,324,566
54: 102,240,79,319,450,143
55: 24,388,338,371,88,5
56: 66,649,501,71,337,78
57: 102,79,120,589,472,488
58: 133,116,346,570,505,141
59: 804,683,162,195,145,196
60: 278,149,356,735,768
61: 77,70,179,14,233,293
99: 649,290,71,181,201,452
63: 17,371,32,186,88,157
65: 266,447,302,184,402
66: 154,56,329,649,6,78
67: 702,557,312,733,561,608
68: 116,570,903,200,215
69: 802,610,682,875,919,663
70: 61,77,183,216,765,179
71: 501,836,181,56,649,99
72: 349,244,204,16,794,904,846
73: 639,493,126,110,820,579
74: 559,536,503,819,127,565
203: 417,781,843,847,473,677
76: 274,913,20,381,446,981
77: 61,35,216,70,258,14
78: 1,6,321,337,56,66
79: 54,102,240,57,331,120
80: 605,606,130,411,622,421
81: 102,450,472,34,264,876
82: 725,195,904,280,136,846
83: 623,19,90,675,224
84: 854,24,9,287,86,780
85: 642,519,651,333,144,39
86: 278,780,287,84,29,768
87: 304,767,801,282,275,648,491
88: 261,186,371,63,55,388
89: 244,16,152,164,139
91: 48,344,308,121,362
92: 754,390,359,674,752,539
93: 253,303,13,363,344,362
94: 532,422,5,22,371,32
95: 115,573,47,179,812,765
96: 390,98,554,571,298,318
97: 176,263,473,536,503,238
98: 247,554,96,571,107,477
100: 6,261,329,854,388,192
101: 830,239,704,513,741,902
102: 54,79,57,450,81,472
103: 441,428,656,797,784,494
104: 650,762,850,324,566,53
105: 49,280,138,236,725,482
106: 623,412,935,477,833
107: 265,571,477,833,98
108: 358,365,45,300,226,44
109: 128,931,349,204,288,307
110: 184,409,447,126,73,579
111: 199,309,515,435,330,221
112: 283,192,27,211,154,329
113: 10,12,160,410,547,53
114: 52,18,936,304,767,380
115: 95,812,162,442,765,145
116: 133,465,68,570,58
204: 349,72,109,148,128,846
118: 1,186,157,10,321,171
119: 234,746,583,674,544,156
120: 627,331,269,488,79,57
121: 48,407,91,457,762
122: 408,468,474,139,137,152
123: 384,434,146,446,274,297
124: 241,641,557,35,258,449
125: 440,150,334,294,474,206
126: 639,73,180,110,409,638
127: 605,565,74,503,175,411
128: 109,366,148,688,204,288
129: 166,253,161,282,207,648
130: 731,980,606,80,622,223
131: 538,526,471,514,661,726
132: 430,600,151,178,544,156
133: 465,116,58,505,543
134: 437,382,464,475,531
135: 699,606,963,248,731,351
136: 350,148,846,804,195,82
137: 325,353,7,122,408,152
138: 49,105,876,232,236,532
139: 956,122,474,89,152
140: 400,378,355,285,330
141: 316,167,268,346,58,505
142: 270,789,419,713,923,322
143: 276,44,300,54,240,319
144: 528,436,198,39,651,85
145: 183,765,196,59,162,115
146: 543,123,434,297,256,505
147: 188,401,178,314,234,156
148: 350,136,366,128,846,204
149: 278,283,27,60,19
150: 440,357,125,633,334,347
151: 430,600,132,444,517,710
152: 244,89,122,139,137,7
153: 258,165,518,449,14,514
154: 211,66,329,649,290,112
155: 781,612,652,892,858,716
156: 234,119,544,147,132,178
157: 118,186,226,171,17,63
158: 610,194,682,163,513,306
159: 191,955,448,578,686,222
160: 10,12,321,113,190,337
161: 129,253,303,615,282,252
162: 59,683,442,461,145,115
163: 158,682,824,508,306,522
164: 589,472,956,16,89,34
165: 153,518,14,170,233,867
166: 129,253,308,362,43,207
167: 141,458,316,867,346,40
168: 432,635,385,629,209,511
169: 345,594,627,331,375,427
170: 458,867,165,518,954
171: 10,410,45,226,118,157
172: 741,466,737,679,254,830
173: 555,883,632,732
174: 323,560,326,382,823
175: 263,237,503,127,411,202
176: 97,31,263,182,694,238
177: 567,464,643,697,717,753
178: 430,132,397,147,401,156
