0: 6,75,242,145,261
221: 103,142,258,287,118
2: 164,284,236,89,4,78
149: 124,184,234
4: 89,239,55,247,2,284
199: 53,57,253,246
6: 250,0,75,240
7: 218,78
8: 241,272,21,13,216
158: 210,280,283,188
10: 161,286,109,246,70
167: 53,57,145,164,95,242
12: 265,245
13: 216,23,8
220: 184,144,17,226,22
15: 94,18,249,235,39
184: 220,144,149,124,22
17: 226,185,220,275
18: 176,15,218,39,227,281
235: 186,249,104,260,94,15
210: 158,280,188,282
21: 37,273,241,8,216
22: 124,226,268,231,220,184
23: 277,272,13,110
164: 2,95,236,57,167,78
219: 256,216
249: 186,235,207,39,233,15
181: 284,73,247,208
236: 164,2,95,284,73
230: 274,109,197,43
247: 37,239,4,181,241,208
275: 17,224
240: 6,75,266
232: 198,161
252: 36,268,243,228,231
214: 273,244
36: 243,252,237
37: 21,142,247,239,241
196: 279,285,98,271
39: 249,257,233,15,18,227
150: 255,254,269,276
250: 6,86,145,197
192: 75,261,224
43: 230,274
44: 287,265,282
151: 144
195: 244,245
234: 149
176: 94,18,218
188: 158,210,278,282
225: 238,138,206
53: 199,86,57,167,145
54: 277,183,228
55: 89,118,239,4,217,281
217: 227,118,55,257,258
57: 53,199,167,78,164
124: 149,113,22,268,184
197: 230,109,250
144: 220,184,151
241: 8,208,272,37,21,247
62: 270
276: 150,254,269,70,161
244: 195,256,245,214
206: 238,225
254: 150,276,70,253
246: 286,10,70,253,199
245: 12,244,195
251: 81
70: 254,276,253,161,10,246
201: 255
233: 257,271,280,283,249,207,39
73: 236,183,181,208
238: 225,267,206
75: 192,0,6,240,224,266
207: 186,249,259,233,271
186: 249,235,207,260,259
78: 57,7,218,89,164,2
237: 81,110,36,243
248: 138,224,267
81: 237,251
161: 10,276,70,232
216: 13,21,273,219,8
179: 264,261,185,95,242
228: 231,252,54,107
86: 53,145,286,250
253: 254,70,246,199
154: 285
89: 4,55,281,218,78,2
239: 118,4,55,37,142,247
224: 248,266,192,75,275
242: 0,167,145,95,261,179
257: 233,258,280,39,217
94: 176,15,235,104
95: 164,236,167,242,179
183: 73,54,264,107
227: 217,281,39,18
98: 262,196,279
185: 17,226,264,261,179
243: 36,252,110,237
102: 263,269
103: 142,221,287,265
104: 235,260,255,94
198: 232
255: 150,201,104
107: 226,264,183,228,231
256: 219,244,273
109: 286,230,10,197
110: 23,243,237
231: 268,228,252,226,107,22
142: 37,103,221,118,239
113: 124,268
208: 241,272,247,73,181
218: 176,7,18,89,281,78
226: 17,107,185,231,220,22
187: 
118: 239,55,217,258,142,221
138: 248,225,267,266
145: 53,86,167,250,0,242
258: 257,118,217,221
259: 186,207,285
260: 186,235,104,270
261: 179,185,192,0,242
262: 98,279
263: 102
264: 179,107,185,183
265: 44,12,287,103
266: 138,224,75,240
267: 238,248,138
268: 231,252,113,124,22
269: 150,276,102
270: 62,260
271: 233,283,196,207
272: 241,277,23,8,208
273: 21,214,256,216
274: 230,43
277: 23,54,272
278: 282,188
279: 196,98,262
280: 158,210,257,233,283
281: 227,89,55,18,218
282: 44,278,188,210
283: 158,233,271,280
284: 2,236,181,4
285: 196,154,259
286: 10,109,246,86
287: 44,265,103,221
