447: 65,704,184,110,579
1: 118,321,261,186,6,78
90: 83,224,19,211,372,283
313: 391,698,603
241: 217,641,712,702,557,124
5: 8,94,422,371,55,338
6: 1,261,66,329,78,100
7: 244,89,349,152,325,137
8: 498,422,5,338,381,404
9: 24,287,338,23,33,404
10: 160,410,113,171,118,321
64: 317,340,259,42,402,246
12: 53,160,113,566,190
13: 303,249,93,270,621,363
14: 258,165,153,61,77,233
15: 288,406,455,668,688,703
16: 72,244,89,34,264,82
17: 276,44,226,32,63,157
18: 380,87,114,414,275
19: 83,623,90,356,283,149
20: 442,381,47,624,446,76
21: 358,41,423,389,257,530
22: 532,94,276,319,32,232
23: 76,33,274,212,404,9
24: 55,388,9,287,84,338
25: 448,227,715,159,191,537
26: 425,250,198,235,675
27: 278,283,192,86,149,112
28: 225,434,384,354,259,38
29: 46,220,287,278,86,33
30: 620,242,277,692,520
31: 176,263,182,237,721,345,375
32: 17,276,63,22,94,371
33: 23,212,9,287,29,220
34: 16,89,164,472,81,264
35: 77,216,608,557,258,124
36: 530,421,622,650,324,389
37: 255,207,648,491,181,201
38: 409,246,638,259,28,225
39: 436,144,255,333,304,85
40: 458,346,260,58,323,326
41: 358,45,21,389,410,547
42: 265,266,485,64,340,402
43: 308,286,181,166,207
44: 17,276,143,226,300,108
45: 358,41,108,410,171,226
46: 29,317,60,340,220,278
47: 442,20,446,95,297
48: 344,435,121,91,221,457
49: 81,138,264,232,280,450
52: 333,380,114,654,640,519
53: 12,547,113,324,566
54: 102,240,79,450,319,143
55: 24,388,338,88,5,371
56: 66,649,78,501,71,337
57: 102,79,472,589,488
58: 260,570,133,40,346,141
59: 136,196,162,195,374,683,350
60: 46,340,278,149,356,265
61: 77,70,293,179,14,233
99: 649,290,71,452,201
63: 157,186,88,17,32,371
65: 292,447,266,184,402
66: 154,56,329,649,78,6
67: 702,557,312,562,341,608
68: 215,116,200,570,180,639
69: 527,522,610,663,682,210
70: 61,77,183,216,145,179
71: 501,181,99,56,649
72: 244,204,16,82,148,136
73: 306,493,126,110,579
74: 559,536,597,127,565,503
203: 593,609,694,417,652,473,238
76: 23,274,404,20,381,446
77: 61,35,216,70,258,14
78: 56,66,337,1,321,6
79: 54,102,240,57,331
80: 411,421,622,606,605,130
81: 49,264,102,472,450,34
82: 264,280,725,72,16,136,195
83: 623,224,106,19,90,675
84: 100,24,388,287,192,86
85: 519,651,642,333,144,39
86: 278,192,27,287,84,29
87: 18,304,114,275,282,491
88: 63,261,186,371,55,388
89: 7,244,16,34,152,164
91: 48,344,121,362,407,308
92: 234,314,390,539,554,674
93: 13,253,303,344,363,362
94: 22,532,422,5,371,32
95: 573,179,442,47,145
96: 390,554,98,571,298,318
97: 176,503,238,263,473,536
98: 477,571,96,247,554
100: 388,84,261,6,329,192
101: 302,704,254,172,513
102: 54,79,57,472,450,81
103: 428,656,494,414,478,229
104: 650,714,457,566,121
105: 138,280,725,236,683,482
106: 83,623,675,412,477
107: 265,477,485,623,356
108: 358,365,45,44,226,300
109: 128,187,204,349,288,307
110: 184,409,447,73,579
111: 199,309,515,221,330,435
112: 283,192,27,154,329,211
113: 10,12,53,160,410,547
114: 52,333,18,380,304,87
115: 196,162,442,461,183,145
116: 68,570,133,180,465
204: 72,244,349,109,148,128
118: 1,157,321,186,10,171
119: 583,504,674,544,156,234
120: 169,627,331,440,269,488
121: 48,91,407,104,457,566
122: 474,139,152,408,468,137
123: 434,146,446,274,384,297
124: 258,449,557,35,241,641
125: 440,334,150,294,206,474
126: 639,73,638,180
127: 565,605,74,503,411,175
128: 109,366,148,688,204,288
129: 253,161,166,207,648
130: 400,355,606,80,622,223
131: 538,526,471,514,726
132: 430,600,151,156,178,544
133: 116,570,58,505,141
134: 174,475,437,382,531,464
135: 351,606,693,699
136: 59,195,72,82,350,148
137: 325,353,408,122,152,7
138: 49,232,280,105,532,236
139: 206,589,122,474,152,164
140: 400,462,378,330,355,285
141: 316,346,268,58,133
142: 270,343,419,322,586
143: 276,44,319,300,54,240
144: 528,436,198,39,651,85
145: 183,70,115,95,179
146: 543,123,434,505,297,256
147: 188,401,156,178,234,314
148: 350,366,128,72,204,136
149: 278,283,27,19,356,60
150: 440,357,334,125,633,269
151: 430,600,132,710,444,517
152: 122,139,164,137,7,89
153: 258,165,518,449,14,514
154: 66,329,649,290,211,112
155: 555,612,383,510
156: 132,178,147,234,119,544
157: 118,63,186,171,17,226
158: 194,239,163,513,682
159: 604,191,448,25,578,686,222
160: 10,12,113,337,190,321
161: 252,253,303,615,129
162: 115,59,196,683,461
163: 158,306,508,522,682
164: 589,139,152,472,89,34
165: 153,518,14,170,233,167
166: 43,308,362,253,129,207
167: 170,233,458,316,346,165
168: 209,385,511,629,432,635
169: 594,627,331,375,427,120
170: 458,167,165,518,500,460
171: 10,410,45,226,118,157
172: 513,101,254,616,466
173: 632,555,228,439
174: 134,475,382,326,560,587
175: 411,202,127,503,263,237
176: 97,31,238,263,182,556,694
177: 567,464,697,413,717
178: 430,132,156,147,397,401
179: 573,95,293,61,70,145
180: 116,68,465,638,639,126
181: 43,71,207,37,201
182: 176,31,556,451,375
183: 216,70,145,718,115,196
184: 110,409,402,246,447,65
185: 189,347,227,715,219
186: 1,118,63,157,261,88
187: 325,209,511,349,307,109
188: 250,147,412,401,314,247
189: 347,185,219,193,281,357
190: 501,286,337,12,160
191: 604,546,159,537,25
192: 86,27,112,329,100,84
193: 219,467,262,348,281,189
194: 158,513,616,569,682
195: 59,136,683,82,725
196: 115,59,162,374,183,718
197: 591,307,455,209,385,272
198: 528,144,651,224,675,26
199: 309,111,416,332,378,330
