0: 9,138,8,23,76
1: 118,6,78,321,261,186
90: 19,224,211,198,39,283
313: 218,252
241: 217,124,67,35
5: 24,55,138,88,94,32
6: 1,78,261,56,66,100
7: 187,244,137,325,152,89
8: 20,236,105,0,138,76
9: 0,24,287,23,33
10: 113,324,118,321
64: 42,259,317,46,265,246
12: 53,121,113,308,190
13: 270,142,93,205,303,249
14: 61,233,165,77,258,153
15: 288,251,279
16: 89,72,82,264,34
17: 276,226,63,143,157
18: 103,229,87,275,114
19: 83,106,90,224,283,149
20: 115,47,95,8,236,76
21: 257,45,36,202,41,223
22: 49,232,94,32,276,319
23: 76,33,274,212,0,9
24: 55,5,9,84,138
25: 185,150,125,227,294
26: 250,224,235,198,277
27: 278,283,192,86,149,112
28: 116,225,212,123,259,38
29: 46,287,278,86,33,220
30: 52,242,277,235,85
31: 79,169,263,182,237,300
32: 94,22,276,63,88,5
33: 23,220,9,287,29
34: 54,102,164,89,16,264
35: 124,67,77,258,216,241
36: 135,202,80,21,223
37: 201,304,255,71
38: 110,126,246,259,28,225
39: 201,144,198,290,211,90
40: 174,323,167,58,141,260
41: 53,223,324,21,45
42: 64,265,266,65,184,246
43: 308,166,207,190,286,181
44: 300,108,79,240,226
45: 21,257,108,171,41,324
46: 64,317,60,29,265,278,220
47: 20,95,76,274,297,256
48: 270,93,221,285,121,91
49: 232,280,22,81,319,264
52: 242,311,30,229,114
53: 41,121,223,113,12,104
54: 102,34,57,240,81,143
55: 24,5,84,100,261,88
56: 99,286,154,66,6,78
57: 54,102,206,240,79,169,120
58: 68,133,141,40,260,200
59: 196,148,183,136,195,162
60: 46,265,278,149,83,107
61: 14,179,70,145,77
99: 71,56,286,181,290,154
63: 17,276,157,186,88,32
65: 266,292,42,184,172,302
66: 56,154,6,100,192,112
67: 35,251,312,217,241
68: 58,116,225,133,180,200
69: 163,210,158
70: 312,196,183,145,77,216,61
71: 99,181,290,201,37
72: 16,204,136,82,244
73: 126,180,306,163
74: 97,289,176,127,175,263
203: 97,228,176,262,193,238
76: 23,274,0,20,47,8
77: 35,258,216,70,14,61
78: 1,6,321,160,56,286
79: 169,31,300,44,57,240
80: 135,36,130,248
