0: 54,56,2
1: 4,57,6
2: 0,56,3
3: 38,7,2,56
4: 1,6,8
5: 14,36,9,54
6: 8,10,20,53,1,4
7: 3,55,32
8: 6,20,4,47
9: 13,26,52,5,54
10: 6,20,53,19
11: 40,21,60
12: 32,45,49
13: 9,26,52,18,37,27
14: 5,36,34
15: 39,38,28,44
16: 35,20
17: 
18: 24,13,26,37
19: 10,61
20: 6,8,10,35,16,47
21: 43,11,40,60
22: 58,48
23: 31,44,41,30,27
24: 18,59
25: 43,53,57
26: 9,13,36,18,59
27: 30,37,13,52,23
28: 31,44,15
29: 53
30: 46,37,27,23
31: 28,23
32: 12,55,7,49
33: 36,59
34: 14,36
35: 42,45,16,61,20
36: 5,14,34,33,26
37: 46,30,27,18,13
38: 3,56,44,15
39: 15,48
40: 11,21
41: 56,52,23,44
42: 45,35,61
43: 25,21,57,60
44: 28,23,41,38,15
45: 42,35,12
46: 30,37
47: 55,8,20
48: 22,39
49: 58,12,32
52: 9,13,41,54,27
53: 29,25,6,10
54: 0,5,9,52
55: 47,32,7
56: 0,41,2,3,38
57: 1,60,25,43
58: 22,49
59: 24,33,26
60: 57,21,43,11
61: 42,35,19
