447: 704,1186,1704,1027,302,110
2068: 602,882,1618,1566,909
90: 83,211,372,224,283,19
313: 705,1374,1812,1459,698,1227
241: 712,557,124,641,702,217
5: 1064,422,371,94,55,338
6: 78,100,261,66,329
7: 1443,349,1420,122,152,1013
8: 381,624,912,1019,498,482
9: 24,404,84,338,287,23
10: 337,160,410,113,171,118
64: 42,317,340,402,246,259
12: 160,113,53,566,190,1937
13: 363,621,1224,249,93,303
14: 258,165,153,77,233,61
15: 688,703,668,406,288,455
16: 264,1205,1129,589,164,34
17: 276,44,157,32,63,226
18: 229,414,617,774,380,114
19: 283,356,149,83,623,90
20: 812,2025,297,1615,2027,442
21: 257,530,389,358,41,423
22: 276,32,94,232,319,532
23: 33,913,9,404,287,981
24: 854,55,9,84,338,388
25: 940,1130,676,955,917,227
26: 412,675,998,935,1913,1608
27: 278,283,192,149,780,112
28: 384,225,354,38,259
29: 220,33,86,287,46,768
30: 692,642,242,277,520,620
31: 176,721,263,182,237,345
32: 17,276,22,371,63,94
33: 23,220,212,913,29,287
34: 589,472,81,264,16,1408
35: 557,124,608,258,77,216
36: 622,530,389,421,650,324
37: 255,207,201,648,766,491
38: 409,246,259,28,225,1935
39: 144,651,85,801,333,1346
40: 323,326,458,260,346,167
41: 358,45,21,389,410,547
42: 885,340,64,485,402,266
43: 207,766,166,308,836,286
44: 17,276,108,226,300,143
45: 358,41,108,226,410,171
46: 735,317,768,340,220,29
47: 812,297,1073,95,256,573
48: 435,221,121,91,344
49: 794,138,1408,105,876,1266
52: 333,304,936,1058,85,519
53: 566,104,324,12,547,113
54: 102,79,319,450,143,240
55: 24,338,371,388,88,5
56: 1419,71,501,78,66,649
57: 102,79,488,120,1300,472
58: 346,141,1043,1394,1065,570
59: 196,145,162,683,195,804
60: 278,356,149,735,768
61: 77,233,14,293,179,70
99: 649,290,71,181,1583,452
63: 17,157,371,32,186,88
65: 184,402,1704,266,1456,302
66: 154,329,649,56,6,78
67: 557,702,608,312,561,733
68: 200,215,570,903,116,1065
69: 1976,1478,663,610,875,1415
70: 77,61,179,216,765,183
71: 1419,1833,56,181,649,99
72: 904,244,1205,2122,1436,846
73: 639,493,126,110,1186,820
74: 559,536,503,819,565,127
203: 847,1095,1955,473,677
76: 981,1615,381,2058,274,913
77: 258,14,61,70,216,35
78: 6,337,501,56,66
79: 54,102,57,240,331,120
80: 605,1477,411,130,622,421
81: 102,450,34,472,1408,876
82: 683,725,1862,195,1928,2097
83: 623,90,675,998,224,19
84: 854,24,86,9,287,780
85: 39,1080,651,52,333,519
86: 84,287,278,780,29,768
87: 1077,767,491,275,282,648
88: 388,261,186,371,63,55
89: 139,152,1013,956,164,1409
91: 121,407,48,362,344,308
92: 539,359,1787,674,2080,390
93: 253,303,362,344,363,13
94: 22,371,32,532,5,422
95: 115,765,812,47,179,573
96: 1771,247,1893,1968,2107,1661
97: 176,263,238,473,536,503
98: 298,1661,1152,1893,1254,292
100: 388,6,261,329,854,192
101: 2089,2056,1078,1187,1060,1111
102: 54,79,57,450,81,472
103: 656,1297,1072,441,719,797
104: 650,53,566,850,324,2013
105: 49,138,1266,236,498,1312
106: 623,412,998,477,1063,833
107: 265,571,485,1063,1152,861
108: 358,365,45,226,300,44
109: 1530,307,1906,204,1000,931
110: 126,73,1747,1704,1186,447
111: 1256,435,330,221,309,205
112: 211,154,329,283,192,27
113: 10,12,160,410,547,53
114: 1058,380,774,18,304,767
115: 765,145,442,95,162,812
116: 133,1065,2044,68,903
204: 1906,109,2122,1055,846
118: 186,10,337,171,157
119: 234,754,544,674,1424,1268
120: 627,331,269,488,79,57
121: 762,91,2074,457,48,221
122: 474,152,1541,137,7,1443
123: 2025,297,1073,446,1770,146
124: 35,241,557,641,449,258
125: 334,1690,1418,150,139,956
126: 639,73,180,110,638,1747
127: 605,565,411,74,503,175
128: 288,1906,1055,148,688,366
129: 166,253,161,282,207,648
130: 1477,80,223,980,606,622
131: 661,726,471,538,514,1736
132: 178,397,156,1322,430,151
133: 116,1788,1394,543,1065,2044
134: 1475,475,531,437,521,823
135: 963,693,248,1195,731,1025
136: 1055,1915,1436,148,1928,846
137: 408,474,122,325,353,1443
138: 49,105,876,232,236,532
139: 89,150,152,1541,125,956
140: 285,400,1056,980,1708,378
141: 346,268,1043,316,167,58
142: 789,322,1163,923,270,1224
143: 54,319,240,300,276,44
144: 39,651,1580,1947,801,1565
145: 115,196,765,183,59,162
146: 1770,434,123,1073,505,543
147: 1103,178,156,188,234,314
148: 1055,136,1915,128,350,366
149: 278,283,356,27,60,19
150: 139,1541,1603,1690,125
151: 517,710,600,132,1322,430
152: 89,139,122,1541,1013,7
153: 258,165,14,449,514,518
154: 211,112,66,329,649,290
155: 1582,1643,1313,1215,858,1526
156: 178,132,147,1322,234,544
157: 17,63,226,171,118,186
158: 513,1242,682,163,306,239
159: 1004,1184,448,955,578,222
160: 10,12,337,113,501,190
161: 129,253,303,252,282,615
162: 115,145,59,442,461,683
163: 158,1199,682,306,522,508
164: 589,1409,89,1013,16,1129
165: 153,233,14,867,170,518
166: 129,253,362,308,207,43
167: 346,141,316,867,40,458
168: 629,1912,511,635,432,1864
169: 594,627,331,375,427,345
170: 954,500,518,165,867,458
171: 10,410,45,226,157,118
172: 679,737,1405,466,267,810
173: 555,785,1665,1032,289,984
174: 323,382,326,736,1890,1974
175: 263,237,503,127,411,202
176: 97,31,263,182,238,694
177: 643,567,1587,717,1432,1471
178: 1103,397,401,132,147,156
179: 61,293,70,765,95,573
180: 639,839,126,465,2044
181: 201,766,1583,1833,71,836,99
182: 176,31,345,694,556,375
183: 196,765,145,718,70,216
184: 1747,409,402,246,1704,65
185: 715,599,1402,227,1170,219
186: 118,261,88,157,63
187: 1973,209,1967,931,1530,1125
188: 1022,947,1103,147,1617,314
189: 1005,889,758,281,193,357
190: 1419,814,1937,12,160,501
191: 1004,816,537,942,940,955
192: 27,780,100,112,329,854
193: 889,189,281,348,916,262
194: 569,610,875,902,513,1242
195: 82,683,1915,1928,804,59
196: 145,183,59,374,804,718
197: 897,385,1144,1807,336
198: 528,1565,224,1947,675,1608
199: 1624,1905,990,1316,1724,332
200: 215,431,301,68,570,260
201: 255,37,181,766,1737,1583
202: 257,530,421,411,175,237
205: 515,1221,309,939,111
206: 956,1300,1409,440,1418,488
207: 37,648,766,43,166,129
208: 374,312,350,366,561,251
209: 1912,1973,187,897,385
210: 1279,802,392,1306,369,2065
211: 154,112,290,372,283,90
212: 220,33,274,354,913,384
213: 416,541,775,759,859,607
214: 720,996,394,444,1007,620
215: 200,563,431,1094,68,903
216: 77,70,718,183,35,608
217: 535,562,499,712,241,702
218: 445,740,322,748,1359,866
219: 1005,1178,758,185,1402,1170
220: 33,212,354,29,317,46
221: 457,48,435,330,111,121
222: 454,273,291,159,448,578
223: 400,980,130,622,650,850
224: 528,198,372,83,90,675
225: 28,1770,434,1935,38
226: 108,45,171,17,44,157
227: 715,185,1170,940,676,25
228: 417,612,1282,732,1132,1036
229: 428,414,784,18,311,380
230: 496,737,1097,267,1372,507
231: 679,496,737,1941,403,352
232: 319,450,22,138,876,532
233: 165,14,61,867,293,316
234: 119,754,544,314,147,156
235: 1080,651,1580,425,1206,250
236: 532,422,1019,498,138,105
237: 31,175,721,263,257,202
238: 176,97,847,473,694,593
239: 1187,1111,579,158,513,306
240: 594,331,300,54,79,143
242: 692,30,640,708,720,620
243: 669,460,613,1698,526,1802
244: 72,1205,1129,2122,1000,1420
245: 1576,961,1244,1190,1208,744
246: 184,38,409,402,259,64
247: 554,96,1617,1796,1771,1968
248: 135,1370,693,1502,1195,1488
249: 789,1369,13,1224,303,615
250: 1206,935,947,1608,235,1580
251: 688,668,341,208,312,366
252: 275,690,983,282,615,161
253: 166,93,129,161,303,362
254: 830,2056,1078,516,1326,2043
255: 201,37,1737,1346,491,801
256: 268,1043,505,573,47,1073
257: 21,202,530,721,237,423
258: 153,77,14,35,124,449
259: 38,246,354,317,64,28
260: 40,326,346,200,301,570
261: 388,6,100,186,88
262: 609,348,979,1045,889,193
263: 176,97,31,175,237,503
264: 904,16,1205,34,794,1408
265: 485,107,1063,833,885
266: 1456,861,42,485,402,65
267: 1372,626,810,737,230,172
268: 141,1043,316,256,573,293
269: 440,451,633,488,627,120
270: 621,1221,1224,1163,419,142
271: 497,626,616,1088,763,489
272: 2108,336,1982,1807
273: 454,399,468,291,222,408
274: 212,913,76,2058,446,384
275: 983,252,282,774,767,87
276: 17,44,22,32,319,143
277: 425,642,30,520,397,401
278: 27,149,60,780,86,768
279: 914,976,418,868,481,533
280: 794,1266,904,1436,2097,725
281: 189,193,916,1496,357,1175
282: 275,252,129,161,648,87
283: 27,149,19,211,112,90
284: 1357,1900,1286,818,873,2069
285: 140,400,457,330,378,714
286: 1833,814,836,793,407,308,43
287: 86,9,84,23,33,29
288: 455,307,128,1906,688,15
289: 1272,438,984,173,555,632
290: 211,154,649,99,452,372
291: 273,468,222,294,448,917
292: 1254,821,1739,516,298,98
293: 233,61,179,268,316,573
294: 1130,917,468,291,1603
295: 652,667,553,979,1212,1045
296: 1338,1059,763,489,730
297: 812,123,2025,47,20,1073
298: 516,318,2107,1326,1661,98,292
299: 1147,1805,644,1713,1352
300: 365,108,240,594,143,44
301: 200,437,431,382,326,260
302: 1456,1739,1027,1704,65,447
303: 93,253,161,13,249,615
304: 52,333,1077,767,1058,114
305: 667,978,553,716,1020,618
306: 158,163,579,820,239,508
307: 1530,288,455,1125,1906,109
308: 166,362,407,91,286,43
309: 1905,1724,1256,111,205
310: 456,1342,628,805,914,481
311: 654,380,1092,229,428,478
312: 208,561,341,251,733,67
314: 234,754,188,147,554,1617
315: 1444,602,882,1528,1157
316: 141,268,167,233,867,293
317: 46,340,64,220,354,259
318: 298,390,752,2107,1326,1787
319: 54,232,450,143,276,22
320: 1382,1683,1718,368,825,1924
1475: 1127,475,531,134,1432,1471
322: 789,218,445,142,748,923
323: 40,326,458,736,174,954
324: 650,53,104,36,389,547
325: 1973,511,353,137,1967,1443
326: 323,40,382,174,260,301
327: 1131,1715,1333
328: 1302,1685,1858,563,1094,335
329: 154,112,66,6,100,192
330: 1256,457,111,221,378,285
331: 240,594,169,627,120,79
332: 1624,990,199,1644,1503,1327
333: 52,1077,1346,304,39,85
334: 1462,1496,1690,125,1035,1418
335: 563,521,328,1685,1536,1786
336: 272,1982,614,1864,197,385
337: 10,160,501,118,78
338: 24,55,9,404,1064,5
339: 562,433,733,826,852,341
340: 735,42,885,317,46,64
341: 852,668,251,312,339,733
342: 495,487,550,578,387,454
343: 360,908,1571,941,825,1014
344: 93,362,48,435,363,91
345: 31,721,182,169,375,427
346: 141,167,58,40,260,570
347: 1462,1768,357,1170,758,676
348: 609,593,509,916,262,193
349: 7,1000,1967,1443,931,1420
350: 374,208,366,804,1915,148
351: 1195,355,462,731,1056,1708
352: 636,1865,453,496,231,403
353: 629,511,325,399,137,408
354: 220,212,317,28,384,259
355: 351,1395,462,2026,1316,1708
356: 149,60,19,623,833
357: 1462,347,1496,189,758,281
358: 41,365,423,108,45,21
