447: 704,1186,1027,1704,302,110
1: 118,6,78,261,186,337
90: 83,19,211,372,224,283
313: 698,1459,1227,937,705,1374
241: 712,217,557,124,641,702
5: 1064,94,422,371,55,338
6: 1,78,100,261,66,329
7: 1443,349,1420,1013,122,152
8: 482,381,912,624,1019,498
9: 24,404,84,338,287,23
10: 337,160,410,113,171,118
64: 42,317,340,402,246,259
12: 160,113,53,566,190,793
13: 363,621,249,1224,93,303
14: 258,165,153,77,233,61
15: 288,455,406,688,703,668
16: 264,34,1129,1205,589,164
17: 276,44,32,63,157,226
18: 229,414,617,774,114,380
19: 83,623,356,90,283,149
20: 812,297,442,1615,446
21: 257,530,389,358,41,423
22: 276,32,319,232,532,94
23: 33,913,981,9,404,287
24: 854,55,388,9,84,338
25: 227,940,676,448,955,917
26: 250,935,1580,1608,675
27: 278,283,192,149,780,112
28: 384,225,434,354,38,259
29: 220,33,287,86,46,768
30: 620,692,642,242,277,520
31: 176,721,263,182,237,345
32: 17,276,22,371,63,94
33: 23,220,212,913,29,287
34: 264,16,589,472,81,1408
35: 557,124,608,216,258,77
36: 622,530,389,421,650,324
37: 255,207,201,648,491,766
38: 409,246,638,259,28,225
39: 144,651,85,801,333,1346
40: 323,326,458,346,167,260
41: 358,45,389,21,410,547
42: 885,340,64,485,402,266
43: 207,766,308,286,166,836
44: 17,276,143,108,226,300
45: 358,41,108,226,410,171
46: 735,317,768,340,220,29
47: 812,573,95,297,256,1073
48: 344,121,91,457,435,221
49: 794,138,1408,105,876,1266
52: 333,304,936,1058,85,519
53: 104,324,566,12,547,113
54: 102,240,79,319,450,143
55: 24,388,338,371,88,5
56: 1419,71,501,78,66,649
57: 102,79,120,1300,488,472
58: 570,1065,1394,346,141,1043
59: 804,683,162,195,196,145
60: 278,149,356,735,768
61: 77,233,14,70,179,293
99: 649,290,71,181,1583,452
63: 17,371,32,157,186,88
65: 266,1704,302,184,402
66: 154,329,649,56,6,78
67: 312,608,733,561,557,702
68: 116,570,1065,903,200,215
69: 663,1478,610,875,1415
70: 765,183,216,179,77,61
71: 1419,56,181,649,99
72: 904,244,1205,204,846,1436
73: 639,493,126,820,110,1186
74: 559,536,503,819,565,127
203: 843,1095,847,473,677
76: 1615,381,446,274,913,981
77: 258,14,61,216,70,35
78: 1,6,337,501,56,66
79: 54,102,240,57,331,120
80: 605,130,1477,411,622,421
81: 102,450,472,34,1408,876
82: 725,195,280,136,1436
83: 623,19,90,675,998,224
84: 854,24,9,287,86,780
85: 39,1080,651,52,333,519
86: 278,780,84,287,29,768
87: 1077,767,282,275,648,491
88: 261,186,371,63,55,388
89: 956,164,1409,139,152,1013
91: 344,308,121,407,48,362
92: 539,359,390,674,318,752
93: 253,303,362,363,13,344
94: 532,5,422,22,371,32
95: 812,573,47,765,179,115
96: 554,390,98,247,1661
97: 176,263,473,536,503,238
98: 96,247,571,1152,1254,1661
100: 6,261,329,854,388,192
101: 741,830,1078,1187,1060,1111
102: 54,79,57,450,81,472
103: 656,1072,441,797,1297,719
104: 650,53,850,324,566
105: 49,138,1266,236,498,1312
106: 623,998,412,1063,833,477
107: 265,571,485,861,1063,1152
108: 358,365,45,226,300,44
109: 931,349,1000,307,1055,1530
110: 126,73,1747,1704,1186,447
111: 205,435,330,221,1256,515
112: 211,154,329,283,192,27
113: 10,12,160,410,547,53
114: 304,767,774,18,1058,380
115: 765,145,162,812,95,442
116: 133,465,68,1065,903,180
204: 846,1000,72,244,1055
118: 1,186,10,337,171,157
119: 234,754,544,1268,674,1424,1771
120: 627,331,269,488,79,57
121: 1009,407,91,48,457,762
122: 474,152,1541,7,137,1443
123: 146,1770,446,274,297
124: 241,557,641,449,35,258
125: 150,139,334,1690,1418,956
126: 639,73,180,110,1747,409,638
127: 605,565,74,503,175,411
128: 366,148,846,288,688
129: 166,253,161,282,207,648
130: 80,1477,223,980,606,622
131: 661,726,471,538,514,1736
132: 430,178,397,156,1322,151
133: 465,116,1065,1394,543
134: 1475,475,531,437,382,823
135: 963,693,248,1195,1025,731
136: 350,148,804,195,82
137: 1443,408,474,122,325,353
138: 49,105,876,232,236,532
139: 125,150,152,1541,956,89
140: 400,1708,355,378,285,330
141: 346,1043,316,167,268,58
142: 270,1224,1163,923,789,322
143: 276,44,300,54,240,319
144: 39,651,1580,1608,801,1565
145: 196,765,183,115,59,162
146: 543,123,434,505,1770,1073
147: 178,156,188,1103,314,234
148: 350,136,366,128,846
149: 278,283,27,60,356,19
150: 125,139,1541,1603,1690
151: 517,710,600,430,132,1322
152: 139,122,1541,89,7,1013
153: 258,165,14,449,514,518
154: 211,112,66,329,649,290
155: 1582,1643,1313,1215,858
156: 178,132,147,1322,234,544
157: 17,63,226,171,118,186
158: 513,1242,682,163,239,306
159: 448,955,1004,578,1184,222
160: 10,12,337,113,501,190
161: 129,253,303,282,252,615
162: 59,683,461,145,115,442
163: 158,682,1199,306,522,508
164: 589,89,1409,1013,16,1129
165: 153,233,14,867,518,170
166: 129,253,362,308,207,43
167: 346,141,316,867,40,458
168: 629,385,209,511,635,432
169: 345,594,627,331,375,427
170: 500,518,165,867,954,458
171: 10,410,45,226,157,118
172: 679,737,267,1405,466,810
173: 555,785,1665,1032,289,984
174: 323,326,736,382,560,823
175: 263,237,503,127,411,202
