447: 1027,65,184,110,704,1186
1: 118,6,78,261,186,321
90: 83,19,211,372,224,283
313: 391,705,845
241: 712,217,557,124,641,702
5: 1064,94,422,371,55,338
6: 1,78,100,261,66,329
7: 137,325,931,349,152,1013
8: 381,912,624,1019,498
9: 24,404,84,338,287,23
10: 321,160,410,113,171,118
64: 402,246,259,42,317,340
12: 160,113,53,566,190,793
13: 363,621,249,1224,93,303
14: 258,165,153,77,61,233
15: 288,455,406,688,703,668
16: 34,1205,1129,164,794
17: 276,44,32,63,157,226
18: 414,617,774,114,380,229
19: 83,623,356,90,283,149
20: 442,381,624,446,297,812
21: 358,41,423,257,530,389
22: 276,32,319,232,532,94
23: 33,913,981,9,404,287
24: 854,55,388,9,84,338
25: 227,940,448,955,676,917
26: 651,235,198,675,250,935
27: 278,283,192,149,780,112
28: 384,225,434,354,38,259
29: 46,768,287,86,33,220
30: 620,692,242,520,277,642
31: 176,721,263,182,237,345
32: 17,276,22,371,63,94
33: 23,212,913,220,287,29
34: 16,164,472,81,264
35: 258,77,608,216,557,124
36: 622,530,389,421,650,324
37: 255,207,181,648,491,766,201
38: 409,246,638,259,28,225
39: 85,801,333,436,144
40: 323,326,458,346,167,260
41: 358,45,21,389,410,547
42: 340,885,485,64,402,266
43: 308,286,166,207,766
44: 17,276,143,108,300,226
45: 358,41,108,226,410,171
46: 735,29,317,768,340,220
47: 573,95,297,256,1073,812
48: 457,435,221,344,121,91
49: 280,138,264,105,876,1266
52: 333,1058,304,936,519,85
53: 104,324,566,12,547,113
54: 102,240,79,319,450,143
55: 24,388,338,371,88,5
56: 501,71,337,78,66,649
57: 102,79,120,589,472,488
58: 570,1065,346,141,1043
59: 804,683,162,195,196,145
60: 278,149,356,735,768
61: 77,14,233,70,179,293
99: 649,290,71,181,201,452
63: 17,371,32,157,186,88
65: 266,1027,447,302,184,402
66: 154,329,649,56,6,78
67: 312,608,733,561,557,702
68: 116,570,1065,903,200,215
69: 1232,663,1243,875,610
70: 765,183,216,179,77,61
71: 501,836,56,181,649,99
72: 904,244,1000,1205,204,846
73: 639,493,126,110,820,1186
74: 559,536,503,819,565,127
203: 843,1095,473,677,847
76: 274,913,981,381,446
77: 258,14,35,61,216,70
78: 1,6,321,337,56,66
79: 54,102,240,57,331,120
80: 605,130,606,411,622,421
81: 102,450,472,34,264,876
82: 725,195,904,280,136,846
83: 623,19,90,675,998,224
84: 854,24,9,287,86,780
85: 519,1080,651,39,52,333
86: 278,780,84,287,29,768
87: 1077,767,282,275,648,491
88: 261,186,371,63,55,388
89: 956,164,152,139,1013,1129
91: 344,308,121,407,48,362
92: 359,674,754,390,752,539
93: 253,303,362,363,13,344
94: 532,5,422,22,371,32
95: 115,573,47,812,765,179
96: 390,98,554,318,298,1254
97: 176,263,238,473,536,503
98: 96,247,554,571,1152,1254
100: 6,261,329,854,388,192
101: 1187,1111,1060,1078,741,830
102: 54,79,57,450,81,472
103: 1072,1119,797,656,441,719
104: 650,53,850,324,566
105: 49,138,1266,236,498
106: 623,998,833,412,1063,477
107: 265,571,485,861,1063,1152
108: 358,365,45,300,226,44
109: 931,349,1000,307,1055
110: 184,409,447,126,73,1186
111: 205,435,221,1256,309,515
112: 211,154,329,283,192,27
113: 10,12,160,410,547,53
114: 1058,304,767,774,18,380
115: 95,812,162,442,765,145
116: 133,465,68,1065,903,180
204: 148,128,846,72,1000,1055
118: 1,186,10,321,171,157
119: 234,746,674,1268,156,544
120: 627,331,269,488,79,57
121: 1009,407,91,48,457,762
122: 152,139,474,408,468,137
123: 384,434,146,446,274,1073
124: 241,557,641,258,449,35
125: 206,956,150,139,474
126: 639,73,180,409,638,110
127: 605,565,74,503,175,411
128: 204,366,148,288,1055,688
129: 166,253,161,282,207,648
130: 606,80,223,980,731,622
131: 538,526,514,661,726,471
132: 430,178,397,151,156,544
133: 465,116,1065,543,505
134: 475,531,437,382,823
135: 963,693,248,1195,1025
136: 350,148,846,804,195,82
137: 325,353,7,152,122,408
138: 49,105,876,232,236,532
139: 152,474,122,956,89,125
140: 400,1056,285,355,378,330
141: 346,1043,316,167,268,58
142: 270,1224,1163,923,789,322
143: 276,44,300,54,240,319
144: 528,436,198,651,39
145: 196,765,183,59,162,115
146: 543,123,434,505,1073
147: 178,156,188,1103,314,234
148: 350,136,204,366,128,846
149: 278,283,27,60,356,19
150: 440,1035,334,206,125
151: 430,132,544,517,710,600
152: 139,122,89,137,7,1013
153: 258,165,449,14,514,518
154: 211,112,66,329,649,290
155: 612,858,1215,652,716,781
156: 178,132,147,544,234,119
157: 17,63,226,171,118,186
158: 513,1242,682,163,306
159: 448,955,1004,1184,578,222
160: 10,12,321,113,190,337
161: 129,253,303,282,252,615
162: 59,683,442,461,145,115
163: 158,306,522,508,1199
164: 589,956,472,89,16,34,1129
165: 153,14,233,867,518,170
166: 129,253,362,308,43,207
167: 346,141,316,867,40,458
168: 629,385,209,511,432,635
169: 345,594,627,331,375,427
170: 500,518,165,867,954,458
171: 10,410,45,226,157,118
172: 267,830,466,679,254,737
173: 995,1032,632,785,555,732
